pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5035-bcbed37d-ac8d-4392-8752-751036a4e898,facing-5035-bcbed37d-ac8d-4392-8752-751036a4e898,copying-5035-bcbed37d-ac8d-4392-8752-751036a4e898,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5035-bcbed37d-ac8d-4392-8752-751036a4e898,108,visible,156.877,92.848,2.125,100,0.93,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,109,visible,158.97,93.21700000000001,2.125,100,0.9,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,110,visible,161.063,93.586,2.125,100,0.88,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,111,visible,163.156,93.955,2.125,100,0.92,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,112,visible,165.24900000000002,94.324,2.125,100,0.93,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,113,visible,167.342,94.693,2.125,100,0.89,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,114,visible,169.435,95.06200000000001,2.125,100,0.87,0.59,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,115,visible,176.452,96.29899999999999,7.125,100,0.8,0.59,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,116,visible,183.46900000000002,97.536,7.125,100,0.72,0.59,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,117,visible,185.562,97.905,2.125,100,0.64,0.59,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,118,visible,187.655,98.274,2.125,100,0.53,0.59,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,119,visible,189.748,98.64299999999999,2.125,100,0.46,0.59,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,120,visible,191.84099999999998,99.012,2.125,100,0.48,0.59,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,121,visible,193.93400000000003,99.381,2.125,100,0.5,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,122,visible,196.02700000000002,99.75,2.125,100,0.53,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,123,visible,198.12,100.119,2.125,100,0.51,0.6,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,124,visible,199.861,101.338,2.125,125,0.49,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,125,visible,200.41099999999997,103.391,2.125,165,0.41,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,126,visible,199.513,105.31700000000001,2.125,205,0.41,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,127,visible,198.615,107.243,2.125,205,0.4,0.6,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,128,visible,196.68900000000002,108.141,2.125,245,0.38,0.6,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,129,visible,194.636,107.59100000000001,2.125,285,0.39,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,130,visible,192.583,107.041,2.125,285,0.42,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,131,visible,190.53,106.491,2.125,285,0.4300000000000001,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,132,visible,188.477,105.941,2.125,285,0.4300000000000001,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,133,visible,186.424,105.391,2.125,285,0.49,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,134,visible,184.37099999999998,104.84100000000001,2.125,285,0.54,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,135,visible,182.31799999999998,104.291,2.125,285,0.52,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,136,visible,180.952,102.663,2.125,320,0.52,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,137,visible,179.58599999999998,101.035,2.125,320,0.51,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,138,visible,178.22,99.40700000000001,2.125,320,0.54,0.6,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
