pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9467-645a1356-9588-4f00-aeef-0adf33505a0f,facing-9467-645a1356-9588-4f00-aeef-0adf33505a0f,copying-9467-645a1356-9588-4f00-aeef-0adf33505a0f,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9467-645a1356-9588-4f00-aeef-0adf33505a0f,78,visible,170.25900000000001,57.946999999999996,2.125,109,0.76,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,79,visible,172.268,58.638999999999996,2.125,109,0.77,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,80,visible,174.27700000000002,59.331,2.125,109,0.8,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,81,visible,176.28599999999997,60.023,2.125,109,0.75,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,82,visible,178.295,60.715,2.125,109,0.75,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,83,visible,180.304,61.407,2.125,109,0.77,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,84,visible,182.313,62.099,2.125,109,0.78,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,85,visible,184.322,62.791000000000004,2.125,109,0.77,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,86,visible,186.331,63.483000000000004,2.125,109,0.8,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,87,visible,193.06799999999998,65.803,7.125,109,0.74,0.43,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,88,visible,195.077,66.495,2.125,109,0.73,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,89,visible,201.81400000000002,68.815,7.125,109,0.65,0.43,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,90,visible,203.82299999999998,69.507,2.125,109,0.63,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,91,visible,205.832,70.199,2.125,109,0.5700000000000001,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,92,visible,212.56900000000002,72.51899999999999,7.125,109,0.52,0.43,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,93,visible,214.578,73.211,2.125,109,0.4,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,94,visible,216.58700000000002,73.903,2.125,109,0.38,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,95,visible,218.59599999999998,74.595,2.125,109,0.38,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,96,visible,220.605,75.28699999999999,2.125,109,0.39,0.43,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,97,visible,222.667,75.801,2.125,104,0.42,0.43,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,98,visible,224.577,74.869,2.125,64,0.37,0.43,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,99,visible,226.487,73.937,2.125,64,0.42,0.43,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,100,visible,227.517,72.078,2.125,29,0.4300000000000001,0.43,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,101,visible,227.295,69.965,2.125,354,0.44,0.43,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,102,visible,225.766,68.48899999999999,2.125,314,0.48,0.43,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,103,visible,223.667,68.157,2.125,279,0.52,0.43,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,104,visible,221.62400000000002,68.743,2.125,254,0.51,0.43,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,105,visible,219.581,69.329,2.125,254,0.5900000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,106,visible,217.53799999999998,69.915,2.125,254,0.5900000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,107,visible,210.68900000000002,71.87899999999999,7.125,254,0.5900000000000001,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,108,visible,203.84,73.843,7.125,254,0.61,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,109,visible,201.797,74.429,2.125,254,0.6,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,110,visible,199.75400000000002,75.015,2.125,254,0.61,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,111,visible,197.71099999999998,75.601,2.125,254,0.5900000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,112,visible,195.668,76.187,2.125,254,0.5700000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,113,visible,193.625,76.773,2.125,254,0.5800000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,114,visible,186.77599999999998,78.737,7.125,254,0.5700000000000001,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,115,visible,184.733,79.32300000000001,2.125,254,0.5800000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,116,visible,182.69,79.90899999999999,2.125,254,0.5900000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,117,visible,180.64700000000002,80.495,2.125,254,0.63,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,118,visible,178.604,81.081,2.125,254,0.5700000000000001,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,119,visible,171.755,83.045,7.125,254,0.52,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,120,visible,164.90599999999998,85.009,7.125,254,0.63,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,121,visible,162.863,85.595,2.125,254,0.73,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,122,visible,160.82,86.181,2.125,254,0.76,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,123,visible,158.77700000000002,86.76700000000001,2.125,254,0.71,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,124,visible,156.734,87.353,2.125,254,0.76,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,125,visible,149.885,89.31700000000001,7.125,254,0.71,0.44,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,126,visible,147.842,89.90299999999999,2.125,254,0.71,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,127,visible,145.799,90.48899999999999,2.125,254,0.74,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,128,visible,143.756,91.075,2.125,254,0.74,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,129,visible,141.713,91.661,2.125,254,0.73,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,130,visible,139.67,92.24700000000001,2.125,254,0.76,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,131,visible,137.627,92.833,2.125,254,0.72,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,132,visible,135.584,93.419,2.125,254,0.71,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,133,visible,133.541,94.005,2.125,254,0.7,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,134,visible,131.498,94.59100000000001,2.125,254,0.69,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,135,visible,129.455,95.177,2.125,254,0.6799999999999999,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,136,visible,127.412,95.76299999999999,2.125,254,0.71,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,137,visible,125.369,96.34899999999999,2.125,254,0.71,0.44,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
