pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,facing-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,copying-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,118,visible,169.44799999999998,119.61200000000001,2.125,167,0.97,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,119,visible,169.926,121.68299999999999,2.125,167,0.92,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,120,visible,170.40400000000002,123.75399999999999,2.125,167,0.9,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,121,visible,170.882,125.825,2.125,167,0.86,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,122,visible,171.36,127.896,2.125,167,0.88,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,123,visible,172.19,129.852,2.125,157,0.86,0.06,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,124,visible,173.639,131.406,2.125,137,0.8,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,125,visible,175.088,132.96,2.125,137,0.76,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,126,visible,176.537,134.514,2.125,137,0.69,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,127,visible,177.986,136.06799999999998,2.125,137,0.6799999999999999,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,128,visible,179.435,137.622,2.125,137,0.64,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,129,visible,181.405,138.418,2.125,112,0.61,0.06,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,130,visible,183.375,139.214,2.125,112,0.64,0.06,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,131,visible,185.484,139.47299999999998,2.125,97,0.5800000000000001,0.06,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,132,visible,187.593,139.732,2.125,97,0.56,0.06,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,133,visible,189.46900000000002,138.734,2.125,62,0.5800000000000001,0.06,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,134,visible,191.144,137.42600000000002,2.125,52,0.62,0.06,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,135,visible,191.94,135.45600000000002,2.125,22,0.5900000000000001,0.06,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,136,visible,191.644,133.352,2.125,352,0.48,0.06,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
