pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2953-6e410c79-2094-4548-a009-faf82961733d,facing-2953-6e410c79-2094-4548-a009-faf82961733d,copying-2953-6e410c79-2094-4548-a009-faf82961733d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2953-6e410c79-2094-4548-a009-faf82961733d,77,visible,248.84099999999998,147.474,2.125,73,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,78,visible,249.998,145.692,2.125,33,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,79,visible,249.924,143.56799999999998,2.125,358,0.96,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,80,visible,249.482,141.489,2.125,348,0.89,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,81,visible,248.203,139.792,2.125,323,0.86,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,82,visible,246.18200000000002,139.135,2.125,288,0.89,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,83,visible,244.15,139.756,2.125,253,0.86,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,84,visible,242.993,141.53799999999998,2.125,213,0.88,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,85,visible,243.067,143.662,2.125,178,0.92,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,86,visible,244.34599999999998,145.359,2.125,143,0.89,0.04,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
