pid,tick,latency
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,89,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,89,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,89,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,90,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,90,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,90,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,91,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,91,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,91,45.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,92,25.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,92,47
6598-d0c90d01-a279-4cce-8851-10c07513efe2,93,28.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,92,108.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,93,45
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,93,45.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,94,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,94,108.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,95,45
6598-d0c90d01-a279-4cce-8851-10c07513efe2,94,111
6598-d0c90d01-a279-4cce-8851-10c07513efe2,95,47.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,95,51
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,96,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,96,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,96,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,97,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,97,28.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,97,46
6598-d0c90d01-a279-4cce-8851-10c07513efe2,98,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,98,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,98,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,99,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,99,30.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,99,44.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,100,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,100,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,100,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,101,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,101,28.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,101,48.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,102,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,102,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,102,48.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,103,26
6598-d0c90d01-a279-4cce-8851-10c07513efe2,103,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,103,47.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,104,24.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,104,61
6598-d0c90d01-a279-4cce-8851-10c07513efe2,104,69.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,105,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,105,41
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,105,45.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,106,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,106,48.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,106,73
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,107,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,107,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,107,47.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,108,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,108,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,108,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,109,23.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,109,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,110,25
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,110,45.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,109,130.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,111,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,110,106.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,111,45
6598-d0c90d01-a279-4cce-8851-10c07513efe2,111,46.5
